,lyrics
0," Oh yeah, yeah Last night I took a walk in the snow Couples holding hands, places to go Seems like everyone but me is in love Santa, can you hear me? I signed my letter that I sealed with a kiss I sent it off, and just said this ""I know exactly what I want this year Santa, can you hear me?"" I want my baby, baby I want someone to love me Someone to hold Maybe, maybe (maybe, maybe) You'll be all my own in a big red bow Santa, can you hear me? I have been so good this year And all I want is one thing Tell me my true love is near He's all I want, just for me Underneath my Christmas tree I'll be waiting here Santa, that's my only wish this year (Oh yeah, yeah) Christmas Eve, I just can't sleep Would I be wrong, for taking a peek? 'Cause I heard that you're comin' to town Santa, can you hear me? I really hope that you're on your way With something special for me in your sleigh Oh please, make my wish come true Santa, can you hear me? I want my baby, baby I want someone to love me Someone to hold Maybe, maybe (maybe, maybe) We'll be all alone under the mistletoe Santa, can you hear me? I have been so good this year And all I want is one thing Tell me my true love is near He's all I want, just for me Underneath my Christmas tree I'll be waiting here Santa, that's my only wish this year I hope my letter reaches you in time, oh yeah Bring me a love, I can call all mine, oh yeah 'Cause I have been so good, so good this year Can't be alone, under the mistletoe He's all I want and a big red bow Santa, can you hear me? I have been so good this year And all I want is one thing (yeah, yeah, yeah) Tell me my true love is near He's all I want, just for me Underneath my Christmas tree I'll be waiting here Santa, that's my only wish this year Oh Santa, can you hear me? Oh Santa Well, he's all I want, just for me Underneath my Christmas tree I'll be waiting here Santa, that's my only wish this year Santa, that's my only wish this year"
1," All around the world, pretty girls Wipe the floor with all the boys Pour the drinks, bring the noise (It's Iggy-Iggs!) We're just so pretty! All around the world, pretty girls Jump the line, to the front Do what we like, get what we want (Where you at, Brit?) We're just so pretty! Hey, don't you know that it's always the same? From Australia 'round to LA You can betcha', wherever the girls go, boys follow We be keeping them up on their toes They can laugh, but they don't get the jokes Just you watch, they're so predictable (Some things don't change) (The girls roll up) Windows roll down (Eyes on us) Jaws on the ground (Watch them go) It's just so funny (Like bees to the honey!) All around the world, pretty girls Wipe the floor with all the boys Pour the drinks, bring the noise We're just so pretty! All around the world, pretty girls Jump the line, to the front Do what we like, get what we want We're just so pretty! Tell me, is it true that these men are from Mars? Is that why they be acting bizarre? Every time I walk out of my house it's like, ""hey, baby!"" They don't see me rolling my eyes They buzzing around me like flies They got one thing on their minds (Some things don't change) (The girls roll up) Windows roll down (Eyes on us) Jaws on the ground (Watch them go) It's just so funny (Like bees to the honey!) All around the world, pretty girls Wipe the floor with all the boys Pour the drinks, bring the noise We're just so pretty! All around the world, pretty girls Jump the line, to the front Do what we like, get what we want We're just so pretty! If you ask me, I'm killing them softly I would spend time with you but that'd cost me They pray that Iggy-Iggy give 'em one more chance But busy Iggy wouldn't even give 'em one more glance See, enter in line between the beauty and a beast Slim waist, thick cake, the whole world want a piece Bad girl, good (ooh) would make you lose your mind All of the boys begging Britney, hit 'em one more time Iggs! All around the world, pretty girls Wipe the floor with all the boys Pour the drinks, bring the noise We're just so pretty! All around the world, pretty girls Jump the line, to the front Do what we like, get what we want We're just so pretty!"
2," It's love It's love Love... get busy Everybody's talkin all this stuff about me (Now now) Why don't they just let me live (Oh oh oh) I don't need permission Make my own decisions (Oh) That's my prerogative They say I'm crazy I really don't care That's my prerogative They say I'm nasty But I don't give a damn Gettin girls is how I live Some ask me questions Why am I so real But they don't understand me I really don't know the deal About a brother Trying hard to make it right Not long ago Befo' I win this fight Sing! Everybody's talkin all this stuff about me Why don't they just let me live (Tell me why) I don't need permission Make my own decisions (Oh) That's my prerogative It's my prerogative (It's my prerogative) It's the way that I wanna live (It's my prerogative) I can do just what I feel (It's my prerogative) No one can tell me what to do (It's my prerogative) Cause what I'm doin I'm doin for you now Don't get me wrong I'm really not zooped Ego trips is not my thing All these strange relationships Really gets me down I see nothin wrong With spreadin myself around Sing! Everybody's talkin all this stuff about me (yeah) Why don't they just let me live (Tell me why) I don't need permission (I don't need) Make my own decisions (My own decisions) That's my prerogative It's my prerogative (It's my prerogative) I can do what I wanna do (It's my prerogative) Truly live my life (It's my prerogative) I'm doin it just for you (It's my prerogative) Tell me, tell me Why can't I live my life (Live my life) Without all of the things that people say (Oh Oh) Yo tell it, kick it like this Oh no no I can do what I wanna do Me and you Together, together, together, together, together Everybody's talkin all this stuff about me (Everybody's talkin) Why don't they just let me live (Why) (Why don't they just let me live girl) I don't need permission (I don't need permission) Make my own decisions That's my prerogative Everybody's talkin all this stuff about me (Everybody's talkin) Why don't they just let me live (Why don't they just let me live) I don't need permission (I don't need) Make my own decisions (My own decisions) That's my prerogative"
3," Oh baby, baby Oh baby, baby Oh baby, baby, how was I supposed to know That something wasn't right here Oh baby, baby, I shouldn't have let you go And now you're out of sight, yeah Show me how want it to be Tell me baby 'cause I need to know now, oh because My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby The reason I breathe is you Boy you got me blinded Oh pretty baby There's nothing that I wouldn't do It's not the way I planned it Show me how you want it to be Tell me baby 'cause I need to know now, oh because My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby Oh baby, baby Yeah, Oh baby, baby how was I supposed to know Oh pretty baby, I shouldn't have let you go I must confess, that my loneliness is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time I must confess, that my loneliness is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time"
4," Oh, oh-oh Oh, oh, oh-oh Friends say, I'm away Because I'm down with you every day They say, break away I'm missing out on the fun and games But you smile and the words they tell me quickly disappear You speak and there is no other voice that I can hear I spend my days (ooh, ooh) With you (I spend my days) I spend my nights (my nights) Thinkin' about you (thinking about you babe) I spend my days (all day, all night) With you (with you) I spend my nights (my nights) Thinkin' about you You stay on my mind, oh And I think about you all the time (all the time) Day and night Feels so right And for us there is no end in sight, ooh Each day that I spend around you Passes by too fast Each night that I spend without you Is longer than the last I spend my days (I spend my days) With you (thinking about you babe) I spend my nights (my nights) Thinkin' about you (all day, all night) I spend my days (my days) With you (thinking about you) I spend my nights (my nights) Thinkin' about you (thinking about you babe) Ooh, you know I can't get enough of you (can't get enough yeah) Uh-uh, you know that 24 hours won't ever, ever do (yeah yeah) I spend my days, with you (with you, with you) I spend my nights thinkin' about you I spend my days with you (with you baby) I spend my nights (all day, all night) thinkin' about you (all day, all night) I spend my days (thinking about you) with you (thinking about you) I spend my nights (I spend my days, oh yeah) thinkin' about you I spend my days (with you) with you (thinking about you) I spend my nights (thinking about you baby) Thinkin' about you I spend my days (all day, all night) With you (all day, all night)"
5," I saw him standin' there In the parkin' lot He asked if I Came here a lot And this is how I responded I forgot my name I forgot my telephone number If he wanna see me He don't even know it I forgot my address Damsel in distress I forgot my boyfriend Was the one who had bought me this rock I get amnesia When I'm standin' next to you-ou-ou He's been with me for several years I know this much is true Didn't know it was over 'Till you came on over And told me that you just, just can't Forget about me I talk to my girls I can talk to my girls like crazy To anyone, I speak my mind I tell them mother don't phase me I'm not lazy But boy, lately When I see you, I stu-utter Watch you slip away like butterflies I saw you standin' there In the VIP on Friday We conversate up in my Fantasies like, every day But I'm a dud Whenever you approach Like yesterday when you just Came to say hello I forgot my name I forgot my telephone number If he wanna see me He don't even know it I forgot my address Damsel in distress I forgot my boyfriend Was the one who had bought me this rock I get amnesia When I'm standin' next to you-ou-ou He's been with me for several years I know this much is true Didn't know it was over 'Till you came on over And told me that you just, just can't Forget about me Me Me This is how I do I talk to most guys I can talk to most guys like crazy To anyone, I'll speak my mind I tell them mother don't phase me But you shake me Boy, you make me St-o-o-o-op and stutter When we touch, I melt like butter I saw you standin' there In the VIP on Saturday Now that I know you got a Thing for me, I should be straight Not the kinda girl who'll just let Any guy get close I like him so I'm gon' tell my guy He should just effin' go I forgot my name I forgot my telephone number If he wanna see me He don't even know it I forgot my address Damsel in distress I forgot my boyfriend Was the one who had bought me this rock I get amnesia When I'm standin' next to you-ou-ou He's been with me for several years I know this much is true Didn't know it was over 'Till you came on over And told me that you just, just can't Forget about me Me Me This is how I do"
6," Lately I've been stuck imagining What I wanna do and what I really think Time to blow out Be a little inappropriate 'Cause I know that everybody's thinking it When the lights out Shame on me To need release Uncontrollably I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind Whoa oh oh I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind Lately people got me all tied up There's a countdown waiting for me to erupt Time to blow out I've been told who I should do it with To keep both my hands above the blanket When the lights out Shame on me To need release Uncontrollably I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind Whoa oh oh Shame, on me (shame on me) To need, release (to need, release) Uncontrollably (uncontrollably lably lably lably) I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind I I I wanna go o o all the way ay ay Taking out my freak tonight I I I wanna show o o All the dir ir irt I got running through my mind Whoa oh oh"
7," Always talking around this, He wants me, I get things, everything I wanted, My own way, your time, goldmines, Loose guys, on my backless, dresses, exes. I cannot help myself, I'm just doing what I do, Got my heart set, do anything that I want so thank you, I like it and I do what I like, And if you do what I like, then you'll like it, If you wanna just Scream, Scream your lungs out, If you wanna just Cry, Cry your eyes out, I'm not doing that That's what I'm about. You can cry your eyes out of your head, Baby, baby, I don't care, I don't care, I don't care, I don't care, You can cry-cry-cry again-gain-gain, My face like a mannequin, (Scream) Mannequin, yea I did, It again and again, You can cry-cry-cry again-gain-gain, My face like a mannequin. You told me more than he did, And then you were frozen, imposin', There's no way you want me, Watch me, trust me, Can't impress me, I'm not changing, I'm just I cannot help myself, I'm just doing what I do, Got my heart set, do anything that I want so thank you, I like it and I do what I like, And if you do what I like, then you'll like it, If you wanna just Scream, Scream your lungs out, If you wanna just Cry, Cry your eyes out, I'm not doing that That's what I'm about. You can cry your eyes out of your head, Baby, baby, I don't care, I don't care, I don't care, I don't care, You can cry-cry-cry again-gain-gain, My face like a mannequin, (Scream) Mannequin, yea I did, It again and again, You can cry-cry-cry again-gain-gain, My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin. Watch me, (Watch me, watch me, watch me, Watch me, watch me, watch me, Watch me, watch me, watch me, Watch me, watch me, watch me, Watch me, watch me) If you wanna just Scream, Scream your lungs out, If you wanna just Cry, Cry your eyes out, (I'm not doing that) That's what I'm about. You can cry your eyes out of your head, Baby, baby, I don't care, I don't care, I don't care, I don't care, You can cry-cry-cry again-gain-gain, My face like a mannequin, (Scream) Mannequin, yea I did, It again and again, You can cry-cry-cry again-gain-gain, My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin. My face like a mannequin."
8," This is a story about a girl named Lucky Early morning, she wakes up Knock, knock, knock on the door It's time for make-up, perfect smile It's you they're all waiting for They go Isn't she lovely, this Hollywood girl? And they say She's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? Lost in an image, in a dream But there's no one there to wake her up And the world is spinning, and she keeps on winning But tell me what happens when it stops? They go Isn't she lovely, this Hollywood girl? And they say She's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? Best actress, and the winner is Lucky I'm Roger Johnson for Pop News standing outside the arena waiting for Lucky Oh my god here she comes Isn't she lovely, this Hollywood girl? She is so lucky, but why does she cry? If there is nothing missing in her life Why do tears come at night? And they say she's so lucky, she's a star But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night? She's so lucky But she cry, cry, cries in her lonely heart, thinking If there's nothing missing in my life Then why do these tears come at night?"
9," Superstar Where you from, how's it going? I know you Got a clue, what you doing? You can play brand new to All the other chicks out here But I know what you are What you are, baby Look at you Gettin' more than just a re-up Baby you Got all the puppets with their strings up Fakin' like a good one But I call 'em like I see 'em I know what you are What you are, baby Womanizer, woman-womanizer You're a womanizer Oh, womanizer, oh You're a womanizer, baby You, you, you are You, you, you are Womanizer, womanizer Womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You got me going You're oh so charming But I can't do it You womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You say I'm crazy I got you crazy You're nothing but a Womanizer Daddy-O You got the swagger of a champion Too bad for you You just can't find the right companion I guess when you have one too many Makes it hard, it could be easy Who you are That's just who you are, baby Lollipop Must mistake me, you're the sucker To think that I Would be a victim, not another Say it, play it, how you wanna? But no way I'm ever gonna Fall for you Never you, baby Womanizer, woman-womanizer You're a womanizer Oh, womanizer, oh You're a womanizer, baby You, you, you are You, you, you are Womanizer, womanizer Womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You got me going You're oh so charming But I can't do it You womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You say I'm crazy I got you crazy You're nothing but a Womanizer Maybe if We both lived in a Different world (Womanizer, womanizer, womanizer, womanizer) It would be all good And maybe I could be your girl But I can't 'Cause we don't Womanizer, woman-womanizer You're a womanizer Oh, womanizer, oh You're a womanizer, baby You, you, you are You, you, you are Womanizer, womanizer Womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You got me going You're oh so charming But I can't do it You womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah You say I'm crazy I got you crazy You're nothing but a Womanizer Boy don't try to front, uh, I Know just, just, what you are, ah, ah Boy don't try to front, uh, I Know just, just, what you are, ah, ah Womanizer, woman-womanizer You're a womanizer Oh, womanizer, oh You're a womanizer, baby"
